"name (S)","cuisine (S)","loc_src (S)"
"Sleepy's PoBoys","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3466.383094649612!2d-95.42704758425235!3d29.679670942665414!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c02877cf6481%3A0x83269c04e911cea!2sSleepy's+Po-Boys!5e0!3m2!1sen!2sus!4v1532703853637"
"Smashburger","Burgers","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55462.08835347763!2d-95.45987825567083!3d29.679745552640988!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x68a5fe67afc54763!2sSmashburger!5e0!3m2!1sen!2sus!4v1532703890184"
"Sonic","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55462.01115404327!2d-95.45987827042165!3d29.67988548706242!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x643b7408b6cff08!2sSonic+Drive-In!5e0!3m2!1sen!2sus!4v1532703920460"
"Southwell's","Burgers","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55461.93395440732!2d-95.45987828517254!3d29.680025421249617!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x1e0388d78570ad0b!2sSouthwell's+Hamburger+Grill!5e0!3m2!1sen!2sus!4v1532704002524"
"Spanky's Pizza","Pizza","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55461.11392193313!2d-95.37222882677085!3d29.681511797693197!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x467a0136ed31bba3!2sSpanky's+Homemade+Pizza+%26+Bar!5e0!3m2!1sen!2sus!4v1532704060738"
"Subway","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d46637.909302451524!2d-95.43210716058452!3d29.67966358889169!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x5bbc3e83f509d0e8!2sSubway+Restaurants!5e0!3m2!1sen!2sus!4v1532704094403"
"Taco Bell","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55462.06797521002!2d-95.4321071710149!3d29.67978249106687!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x74ccd2895ddac445!2sTaco+Bell!5e0!3m2!1sen!2sus!4v1532704156235"
"Taqueria Arandas","Mexican","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55461.99077572238!2d-95.43210718576577!3d29.679922425426472!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x10986a782e0fbc36!2sTaquerias+Arandas!5e0!3m2!1sen!2sus!4v1532704190709"
"The French Corner","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d17465.543019418776!2d-95.41809852068707!3d29.702295817770075!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xe357b89adb6e0589!2sThe+French+Corner!5e0!3m2!1sen!2sus!4v1532704255555"
"The Union Kitchen","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55449.592160321845!2d-95.442087565595!3d29.702388792132066!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xe532b102aea407c6!2sThe+Union+Kitchen!5e0!3m2!1sen!2sus!4v1532704292619"
"Torchy's","Mexican","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26936.504947423295!2d-95.41421608519558!3d29.698734960188816!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x20754c3cfb7887d0!2sTorchy's+Tacos!5e0!3m2!1sen!2sus!4v1532704337141"
"Viet's Express","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26936.504947423295!2d-95.41421608519558!3d29.698734960188816!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x20754c3cfb7887d0!2sTorchy's+Tacos!5e0!3m2!1sen!2sus!4v1532704337141"
"Vietopia","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d42745.69555079662!2d-95.44253491565615!3d29.730059063351344!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c0f8e047b733%3A0xe42303a519bce450!2sVietopia!5e0!3m2!1sen!2sus!4v1532704416501"
"Wendy's","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55434.24944304277!2d-95.44253492442259!3d29.73016852917856!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x193a4e9b59af1f21!2sWendy's!5e0!3m2!1sen!2sus!4v1532704448469"
"Whataburger","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d16019.214707425826!2d-95.42241316699112!3d29.681965423367163!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xd1b567da8127cb31!2sWhataburger!5e0!3m2!1sen!2sus!4v1532704480886"
"Whichwich","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55460.81337713025!2d-95.44731768611221!3d29.68205654297712!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x700d45a947178f08!2sWhich+Wich+Superior+Sandwiches!5e0!3m2!1sen!2sus!4v1532704515311"
"Wooster's Garden","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d58373.33401226847!2d-95.37317957387894!3d29.727618361481113!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640bf6e9250dd3b%3A0x788119d02efd4fca!2sWooster's+Garden!5e0!3m2!1sen!2sus!4v1532702285500"
